                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9645,                 4.3897,                 3.6209,                 1.8572,                0.00391,                0.64657,                0.03315,                0.01362,                0.00349,                0.57444,                0.02522,                0.00822,                 1.6388,                 3.7829,                 3.3767,                 1.7644,              0.0032479,              0.0032479,              0.0032479
                      2,                 1.8038,                 3.5852,                 3.0447,                 1.6674,                0.29789,                0.12535,                0.08667,                 0.0375,                0.32644,                0.12535,                0.07073,                0.02598,                 1.8679,                 3.8462,                 3.1084,                 1.8496,              0.0065747,              0.0065747,              0.0065747
                      3,                 1.8363,                 3.4979,                 2.7259,                 1.6642,                0.11224,                0.09416,                0.03064,                0.00942,                0.05923,                0.03235,                0.01069,                0.00247,                 2.4024,                 7.4327,                 3.4882,                 2.3764,              0.0098949,              0.0098949,              0.0098949
                      4,                 1.9065,                 3.5619,                 2.6507,                 1.7323,                0.03385,                0.12199,                0.01844,                0.00531,                 0.0267,                0.04766,                0.00459,                0.00115,                 2.9495,                 8.9773,                 6.1438,                 3.8498,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.8958,                 3.5746,                 2.5734,                 1.7398,                 0.1239,                0.10842,                0.04844,                0.01892,                0.10955,                  0.109,                0.03387,                0.00845,                  2.456,                 4.9947,                 4.0453,                 2.6758,              0.0099604,              0.0099604,              0.0099604
                      6,                 1.8887,                 3.5047,                 2.4763,                 1.7324,                 0.1437,                0.18228,                0.07121,                0.02545,                0.07852,                0.15109,                0.04859,                0.01445,                 2.4547,                 4.5102,                 4.2277,                 2.6492,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.8334,                 3.4157,                 2.3651,                 1.6804,                0.23134,                0.23945,                0.09296,                0.03704,                0.12428,                0.16848,                0.04276,                0.01253,                 2.1069,                 4.4745,                 5.0113,                 2.0834,              0.0099406,              0.0099406,              0.0099406
                      8,                 1.8218,                 3.3975,                   2.31,                 1.6674,                0.28634,                0.21261,                0.13507,                 0.0582,                  0.262,                0.15886,                0.08679,                0.03445,                 2.1116,                 5.3474,                 3.4011,                 2.0647,              0.0099307,              0.0099307,              0.0099307
                      9,                 1.7652,                 3.2842,                 2.2195,                 1.6269,                0.28568,                0.28154,                0.17857,                0.07192,                0.25196,                0.21684,                0.13208,                0.04818,                 2.0276,                 3.8923,                 2.6649,                  2.044,              0.0099208,              0.0099208,              0.0099208
                     10,                 1.7462,                 3.2227,                 2.1519,                 1.6113,                0.25928,                0.39112,                 0.2057,                0.08653,                0.24157,                0.32131,                 0.1742,                0.06377,                 2.0047,                 3.6747,                 2.5674,                 1.9635,              0.0099109,              0.0099109,              0.0099109
