                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94264,                 1.8093,                0.73841,                 1.0593,                0.54121,                0.42811,                0.41371,                0.21438,                0.50899,                0.40654,                0.36675,                0.16678,                  1.872,                 3.8115,                 2.2278,                 2.0766,             0.00054142,             0.00054142,             0.00054142
                      2,                0.96877,                 1.8249,                0.75444,                 1.0665,                0.45415,                0.38776,                0.34522,                0.17968,                 0.4152,                0.36735,                0.32101,                0.14357,                 1.9648,                  3.912,                 2.5991,                 2.1876,              0.0010917,              0.0010917,              0.0010917
                      3,                 1.0536,                 1.9521,                0.84169,                 1.1029,                 0.4651,                0.38265,                0.34089,                 0.1719,                0.50391,                0.36179,                  0.335,                0.13583,                 2.0946,                 3.9092,                 2.2372,                 2.1609,              0.0016364,              0.0016364,              0.0016364
                      4,                 1.1043,                 2.0447,                0.90696,                 1.1405,                0.46024,                0.29974,                 0.2809,                 0.1223,                 0.4184,                0.27344,                 0.2393,                0.10213,                 2.2855,                 4.5266,                 2.6109,                 2.4601,              0.0016422,              0.0016422,              0.0016422
                      5,                  1.155,                 2.1296,                0.96641,                  1.168,                0.50004,                0.30833,                0.31191,                0.14832,                0.47275,                0.29696,                0.27518,                0.12573,                 2.1743,                 3.8559,                  2.299,                 2.3037,               0.001634,               0.001634,               0.001634
                      6,                 1.1375,                 2.0944,                0.95366,                 1.1549,                0.50747,                0.33442,                0.35978,                 0.1813,                0.50244,                0.32873,                0.33618,                0.14938,                 2.0769,                 3.7222,                 2.1976,                  2.213,              0.0016257,              0.0016257,              0.0016257
                      7,                 1.1194,                 2.0737,                0.92023,                 1.1471,                0.47008,                 0.4011,                0.36795,                0.18004,                0.39633,                0.37929,                0.30731,                  0.133,                 2.0291,                 4.0034,                 2.2163,                 2.2005,              0.0016175,              0.0016175,              0.0016175
                      8,                 1.1171,                 2.0901,                 0.9159,                  1.143,                0.55356,                0.36994,                0.35528,                0.17559,                0.50907,                0.36793,                0.32821,                0.14293,                 2.0158,                 3.9606,                 2.3041,                 2.2174,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.1254,                 2.0651,                 0.9334,                 1.1542,                 0.4415,                0.36675,                0.34266,                 0.1787,                0.40931,                0.33271,                0.30957,                0.13708,                 2.0326,                 3.8805,                 2.2145,                  2.218,               0.001601,               0.001601,               0.001601
                     10,                  1.082,                  2.002,                0.87086,                 1.1281,                0.46609,                0.42811,                0.37362,                0.17043,                0.40397,                0.39123,                0.31196,                 0.1309,                 2.0037,                 4.0986,                 2.1726,                 2.1706,              0.0015927,              0.0015927,              0.0015927
