                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9293,                  3.869,                 3.0898,                 1.7993,                0.22757,                0.16129,                0.12592,                0.05106,                0.24743,                0.16756,                 0.1247,                0.04671,                 2.1916,                 4.1829,                 3.0832,                 2.1608,             0.00055208,             0.00055208,             0.00055208
                      2,                 1.9653,                 3.6951,                 2.7297,                 1.7832,                0.18477,                0.15329,                0.09829,                0.04577,                0.20183,                0.15387,                0.09534,                0.03686,                 2.2682,                 5.0943,                  3.429,                 2.2972,              0.0011023,              0.0011023,              0.0011023
                      3,                 1.9458,                 3.6051,                 2.6592,                 1.7976,                0.16737,                0.14471,                0.08881,                0.03779,                0.12269,                0.18553,                0.06866,                0.02269,                 2.1863,                 4.5578,                 3.9217,                 2.1962,              0.0016469,              0.0016469,              0.0016469
                      4,                 1.9567,                 3.6299,                 2.5681,                 1.8026,                0.22982,                 0.2333,                0.18393,                0.07888,                0.23108,                0.18901,                0.16939,                0.06958,                 2.0989,                 3.5974,                 2.9071,                 2.2457,              0.0016422,              0.0016422,              0.0016422
                      5,                 1.9064,                 3.5481,                 2.4704,                 1.7754,                0.25323,                0.33273,                0.18218,                0.08489,                0.25153,                0.32521,                0.17822,                0.06622,                 2.1299,                  3.446,                 2.9968,                 2.0472,               0.001634,               0.001634,               0.001634
                      6,                   1.86,                 3.4847,                 2.3932,                 1.7349,                0.31656,                0.32841,                0.23175,                0.09973,                0.25063,                0.29696,                0.16946,                0.06625,                 1.9399,                    3.4,                 2.4274,                 2.0033,              0.0016257,              0.0016257,              0.0016257
                      7,                 1.8361,                 3.4251,                 2.3557,                 1.7223,                0.36017,                0.37509,                0.32536,                0.15391,                0.39697,                0.30601,                0.28742,                0.12058,                 1.9936,                 3.5718,                 2.4069,                 2.0366,              0.0016175,              0.0016175,              0.0016175
                      8,                 1.7956,                 3.3633,                 2.2935,                 1.7092,                0.26276,                0.32862,                 0.2201,                0.09752,                0.30991,                0.31273,                0.20896,                0.08418,                  2.097,                 3.5364,                 2.8283,                 2.0926,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.7771,                 3.3317,                 2.2264,                 1.6698,                  0.387,                0.34624,                0.28957,                0.12178,                0.34021,                0.31482,                 0.2469,                0.09215,                 2.0464,                 3.2024,                 2.3538,                 2.0615,               0.001601,               0.001601,               0.001601
                     10,                 1.7303,                 3.2444,                 2.1524,                 1.6352,                0.33602,                0.45872,                 0.3332,                 0.1565,                0.35093,                0.43075,                0.31447,                0.12489,                 1.9502,                 3.2272,                  2.418,                 1.8639,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.7261,                 3.2424,                 2.1554,                 1.6173,                0.31398,                0.37361,                0.24804,                0.11793,                0.32284,                0.37361,                0.25482,                0.08932,                  1.992,                 3.2927,                 2.4592,                 2.0052,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.7023,                 3.1954,                 2.0981,                 1.6121,                 0.3319,                0.37187,                0.34522,                 0.1743,                0.29627,                0.39344,                0.30365,                 0.1277,                 1.8864,                 3.2852,                 2.2082,                 1.8854,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.6988,                 3.1587,                 2.0774,                 1.5988,                0.31984,                0.27748,                0.18847,                0.08786,                0.28085,                0.25649,                0.16794,                0.07047,                 2.1453,                 3.3802,                 2.5517,                 2.2124,               0.001568,               0.001568,               0.001568
                     14,                 1.6819,                 3.1447,                 2.0542,                 1.5967,                 0.3359,                0.44051,                0.32228,                0.15657,                0.29379,                 0.3866,                0.27241,                0.11585,                 1.8584,                 3.2857,                 2.1814,                 1.9123,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.6884,                 3.1703,                 2.0354,                 1.5805,                0.44406,                0.41825,                0.37495,                0.19828,                0.40382,                0.37859,                 0.3238,                0.14216,                 1.7973,                 3.3312,                 2.0446,                   1.84,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.6414,                 3.0912,                 1.9867,                 1.5683,                0.45194,                 0.3866,                0.36556,                0.19065,                0.45209,                0.36677,                0.34159,                0.15246,                 1.7352,                 3.1635,                 2.2113,                 1.8058,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.6449,                 3.0504,                 1.9525,                 1.5632,                0.41525,                0.37071,                0.36697,                0.18668,                0.46116,                0.35576,                0.33905,                0.15029,                 1.8383,                 3.1361,                 2.0672,                 1.9509,               0.001535,               0.001535,               0.001535
                     18,                 1.6052,                  3.002,                 1.8673,                 1.5218,                0.54037,                0.32873,                0.37419,                0.19622,                0.48357,                0.29604,                0.32119,                0.15493,                 1.8437,                 3.1481,                 2.2279,                 1.8806,              0.0015267,              0.0015267,              0.0015267
                     19,                  1.618,                  3.016,                 1.9016,                 1.5447,                0.39054,                0.40132,                0.34794,                0.17456,                0.42547,                0.31881,                0.31881,                0.13452,                    1.9,                 3.1934,                 2.1931,                 1.9668,              0.0015185,              0.0015185,              0.0015185
                     20,                  1.603,                 2.9838,                 1.8523,                 1.5205,                0.36502,                0.39228,                0.35826,                0.16668,                0.37126,                0.35308,                0.32298,                0.13254,                 1.8192,                 3.2678,                 2.3563,                 1.9314,              0.0015102,              0.0015102,              0.0015102
                     21,                 1.5837,                  2.975,                 1.8254,                 1.5141,                0.40902,                0.36167,                0.34849,                0.18758,                0.39492,                 0.3452,                0.31603,                0.14781,                 1.8052,                   3.09,                 2.1288,                 1.8639,               0.001502,               0.001502,               0.001502
                     22,                 1.5612,                 2.9035,                 1.7833,                 1.4969,                0.43291,                0.36109,                 0.3552,                0.18426,                0.35713,                0.35665,                0.32117,                0.14943,                 1.7988,                 3.0565,                 2.1184,                 1.8837,              0.0014937,              0.0014937,              0.0014937
                     23,                 1.5428,                 2.8646,                 1.7274,                 1.4773,                 0.4192,                0.44283,                0.36244,                0.17563,                0.38697,                 0.4099,                0.31066,                0.13595,                 1.7979,                 3.0841,                 2.3206,                 1.8488,              0.0014855,              0.0014855,              0.0014855
                     24,                 1.5572,                 2.8747,                 1.7564,                 1.4914,                0.39378,                0.40816,                0.34387,                  0.189,                0.37454,                0.38062,                 0.3082,                0.14662,                 1.6655,                 3.1636,                 2.0323,                 1.7373,              0.0014772,              0.0014772,              0.0014772
