                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0029,                 3.9642,                 3.2096,                 1.8698,                0.23729,                0.16474,                0.13545,                0.05581,                0.28355,                0.15666,                0.12615,                0.05186,                 2.1742,                 4.0406,                 3.2088,                 2.2061,             0.00055477,             0.00055477,             0.00055477
                      2,                 2.0644,                 3.8391,                 2.9543,                 1.9202,                0.23427,                0.23504,                0.18416,                 0.0798,                0.20596,                0.20837,                0.15689,                 0.0566,                 2.1115,                 3.7853,                  2.748,                 2.0568,              0.0011049,              0.0011049,              0.0011049
                      3,                 2.0478,                 3.7548,                  2.811,                 1.8986,                0.15896,                0.22321,                0.13737,                0.05955,                0.27913,                0.15225,                0.13437,                0.04667,                 2.2198,                 3.8794,                 2.9642,                  2.218,              0.0016496,              0.0016496,              0.0016496
                      4,                 2.0119,                 3.7027,                 2.7525,                 1.8791,                0.22256,                0.20095,                  0.145,                0.06303,                 0.2453,                0.19196,                0.14377,                0.05064,                 2.1364,                 3.7026,                 2.8876,                 2.0996,              0.0016422,              0.0016422,              0.0016422
                      5,                 1.9714,                 3.6549,                 2.7004,                 1.8274,                0.26755,                0.29464,                0.20699,                0.08818,                0.25728,                0.26345,                0.19128,                0.07615,                 2.0589,                 3.4452,                 2.5351,                  2.174,               0.001634,               0.001634,               0.001634
                      6,                 1.9381,                 3.6227,                 2.6349,                 1.8248,                0.32048,                0.22716,                0.21244,                0.09829,                0.29825,                0.19256,                0.17914,                0.07583,                 1.9855,                  3.545,                 2.4785,                 2.0585,              0.0016257,              0.0016257,              0.0016257
                      7,                 1.8825,                 3.5338,                 2.5554,                  1.786,                0.35076,                0.32595,                0.25907,                0.11535,                0.32834,                0.29186,                0.21679,                0.09208,                  1.903,                 3.4406,                 2.5405,                 1.9477,              0.0016175,              0.0016175,              0.0016175
                      8,                 1.8878,                 3.5318,                 2.5125,                 1.7787,                 0.2321,                0.36561,                0.18441,                0.08088,                0.22508,                0.28254,                 0.1731,                0.06992,                 2.0048,                 3.3108,                 2.6082,                 2.0214,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.8238,                 3.4279,                   2.46,                  1.746,                 0.2759,                0.33894,                0.22332,                0.10033,                0.27206,                0.30032,                0.18885,                0.07553,                 1.9036,                 3.4361,                 2.4214,                 1.9985,               0.001601,               0.001601,               0.001601
                     10,                 1.8229,                 3.4074,                  2.428,                 1.7366,                0.34184,                0.34266,                0.30326,                0.14778,                 0.3147,                0.30775,                0.26299,                0.11985,                 1.9445,                 3.2829,                 2.3542,                  1.967,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.8052,                 3.3847,                 2.3654,                 1.7248,                0.34696,                0.38091,                0.30657,                0.13818,                0.33244,                0.33836,                0.27522,                0.11241,                 1.9078,                 3.3666,                 2.2554,                 1.9505,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.7921,                 3.3348,                 2.3253,                 1.7031,                0.40186,                0.38332,                0.35214,                0.18587,                0.37333,                0.37405,                0.32727,                0.14404,                 1.7967,                 3.2391,                 2.2152,                 1.8598,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.7584,                 3.3281,                 2.3348,                 1.6885,                0.32242,                0.36324,                0.31187,                0.14962,                0.38181,                0.28108,                 0.2804,                0.11757,                  1.835,                  3.183,                 2.1943,                 1.8923,               0.001568,               0.001568,               0.001568
                     14,                 1.7678,                 3.2833,                 2.2967,                 1.6859,                0.50282,                0.25151,                0.30328,                 0.1406,                0.28811,                0.33836,                0.28106,                0.11635,                 1.9182,                 3.2919,                 2.3131,                 1.9664,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.7711,                  3.291,                 2.2647,                  1.689,                0.40414,                0.39123,                0.33232,                0.16224,                0.38018,                0.34184,                0.30064,                0.12306,                 1.8094,                 3.2839,                  2.299,                 1.8782,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.7425,                 3.2641,                 2.2608,                 1.6788,                0.37525,                0.38891,                0.32522,                0.16092,                0.38797,                0.34694,                0.28526,                0.12127,                 1.7658,                 3.3961,                 2.2828,                 1.8685,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.7247,                  3.268,                 2.2395,                 1.6824,                0.44772,                0.39597,                0.36805,                0.18844,                0.41679,                0.34773,                0.33394,                0.15334,                 1.7419,                 3.2303,                 2.0905,                 1.8563,               0.001535,               0.001535,               0.001535
                     18,                 1.6901,                 3.1816,                 2.1559,                 1.6444,                0.38599,                 0.3474,                0.32347,                 0.1521,                0.36567,                0.33152,                0.29489,                0.12233,                 1.8205,                  3.187,                 2.1929,                  1.878,              0.0015267,              0.0015267,              0.0015267
                     19,                 1.7067,                 3.1934,                 2.1769,                 1.6488,                0.35703,                0.45478,                 0.3671,                0.18591,                0.33811,                0.41384,                0.33619,                0.14308,                 1.8289,                 3.2157,                 2.0259,                 1.8467,              0.0015185,              0.0015185,              0.0015185
                     20,                 1.6729,                 3.1459,                 2.1115,                 1.6182,                0.42767,                0.39912,                 0.3583,                0.18035,                0.41679,                0.38323,                0.33017,                0.13878,                 1.7568,                 3.1899,                 2.1123,                 1.8437,              0.0015102,              0.0015102,              0.0015102
                     21,                 1.6812,                 3.1483,                 2.1301,                  1.628,                0.44131,                0.42751,                0.39259,                0.19355,                  0.426,                0.41046,                0.36349,                0.16147,                 1.7936,                 3.1657,                 1.9821,                 1.8099,               0.001502,               0.001502,               0.001502
                     22,                 1.6368,                 3.0827,                 2.0499,                 1.5972,                0.46169,                0.48481,                0.40395,                 0.2075,                0.42363,                 0.4462,                0.37472,                0.16898,                 1.7123,                 3.0881,                 2.0783,                 1.8097,              0.0014937,              0.0014937,              0.0014937
                     23,                 1.6527,                 3.0991,                 2.0557,                 1.5968,                0.36776,                0.40037,                0.32431,                0.16335,                0.35253,                 0.3839,                0.29611,                0.14107,                 1.7497,                  3.188,                 2.2118,                 1.8523,              0.0014855,              0.0014855,              0.0014855
                     24,                 1.6465,                 3.0751,                 2.0416,                 1.5928,                0.36578,                 0.4077,                0.34557,                0.17021,                0.34065,                0.41454,                0.30994,                0.14001,                 1.8451,                 3.2588,                 2.1551,                 1.8829,              0.0014772,              0.0014772,              0.0014772
                     25,                  1.637,                 3.0456,                 2.0004,                 1.5838,                0.40267,                0.44583,                0.39984,                  0.208,                0.37369,                 0.4179,                 0.3624,                0.17006,                 1.7746,                 3.0646,                 2.0736,                 1.8387,               0.001469,               0.001469,               0.001469
                     26,                 1.6117,                 3.0246,                 1.9625,                 1.5594,                0.44477,                 0.3866,                0.37407,                0.18581,                 0.3917,                0.36619,                0.33283,                0.14487,                 1.8251,                 3.1266,                  2.126,                 1.9085,              0.0014607,              0.0014607,              0.0014607
                     27,                 1.6048,                 3.0398,                 1.9826,                 1.5785,                0.41819,                0.42993,                0.39761,                0.20955,                0.41285,                0.40306,                0.37357,                 0.1676,                 1.7447,                  3.226,                 1.9922,                 1.8133,              0.0014525,              0.0014525,              0.0014525
                     28,                 1.6064,                 3.0344,                 1.9608,                 1.5661,                0.44888,                0.39854,                0.36548,                 0.1811,                0.41952,                0.37071,                0.33057,                0.13396,                 1.7868,                 3.2323,                  2.184,                  1.914,              0.0014442,              0.0014442,              0.0014442
                     29,                 1.5879,                  2.998,                 1.9245,                  1.551,                0.48566,                0.38627,                0.39522,                0.20597,                0.44198,                0.35959,                0.35971,                0.15773,                 1.7118,                  3.079,                  2.123,                 1.8117,               0.001436,               0.001436,               0.001436
                     30,                 1.6089,                 2.9924,                 1.9255,                 1.5487,                 0.4358,                0.43857,                0.39204,                0.19461,                0.39694,                  0.401,                0.35285,                0.15945,                  1.723,                 3.1683,                 1.9603,                 1.8331,              0.0014277,              0.0014277,              0.0014277
                     31,                 1.5785,                 2.9665,                 1.9021,                 1.5448,                0.56115,                0.39873,                0.42107,                 0.2112,                 0.5226,                0.37072,                0.38624,                0.17194,                 1.8095,                 3.2053,                 2.0366,                 1.8902,              0.0014195,              0.0014195,              0.0014195
                     32,                  1.574,                 2.9485,                 1.8942,                 1.5364,                0.46121,                0.39007,                0.37425,                0.19497,                 0.3875,                0.36909,                 0.3378,                0.15455,                 1.8104,                 3.2731,                 1.9923,                  1.878,              0.0014112,              0.0014112,              0.0014112
                     33,                 1.5706,                 2.9571,                 1.8799,                  1.532,                0.49862,                0.40318,                0.40504,                0.18772,                 0.4778,                0.36967,                0.36369,                0.15301,                 1.7844,                 3.1441,                 2.0122,                 1.9099,              0.0014029,              0.0014029,              0.0014029
                     34,                 1.5584,                 2.9295,                 1.8543,                 1.5288,                0.39168,                0.44109,                0.35775,                0.18332,                0.38361,                0.43031,                0.32562,                0.14661,                 1.7028,                 3.1837,                 2.0878,                 1.8133,              0.0013947,              0.0013947,              0.0013947
                     35,                 1.5533,                 2.9127,                 1.8344,                 1.5228,                0.39039,                0.40468,                0.33072,                0.15478,                 0.3562,                0.37233,                0.28004,                0.12435,                  1.887,                  3.167,                 2.2388,                 1.9239,              0.0013864,              0.0013864,              0.0013864
                     36,                 1.5496,                 2.8926,                  1.809,                 1.5174,                0.46353,                0.41966,                0.38393,                0.19386,                0.43532,                0.39286,                0.35262,                0.15914,                 1.8049,                 3.1601,                 2.0242,                 1.8979,              0.0013782,              0.0013782,              0.0013782
                     37,                 1.5068,                 2.8677,                 1.7866,                 1.5004,                0.44403,                0.46834,                0.41535,                0.18571,                0.37883,                0.42579,                0.35365,                 0.1456,                  1.839,                 3.1405,                 2.0604,                 1.9337,              0.0013699,              0.0013699,              0.0013699
                     38,                 1.5145,                 2.8623,                 1.7705,                 1.5029,                  0.391,                 0.4593,                0.40472,                0.20937,                0.38701,                0.44678,                 0.3695,                0.16592,                 1.7772,                 3.1174,                 2.0037,                 1.8673,              0.0013617,              0.0013617,              0.0013617
                     39,                 1.5399,                 2.8849,                 1.7923,                 1.4866,                0.53654,                0.42084,                0.41794,                0.20658,                0.51104,                0.41616,                0.38296,                0.16996,                 1.7956,                 3.0542,                 2.0217,                 1.8854,              0.0013534,              0.0013534,              0.0013534
                     40,                 1.5191,                 2.8537,                 1.7777,                 1.5004,                0.43394,                0.47541,                0.41694,                0.20053,                0.40882,                0.42311,                0.36925,                0.16679,                 1.7839,                 3.0697,                 1.9242,                 1.8292,              0.0013452,              0.0013452,              0.0013452
                     41,                 1.5188,                 2.8436,                 1.7489,                 1.4995,                0.46937,                0.41106,                0.41412,                0.19615,                 0.4721,                0.37871,                0.36006,                0.15873,                 1.8258,                 3.0942,                 2.0455,                 1.9028,              0.0013369,              0.0013369,              0.0013369
                     42,                 1.4789,                 2.7671,                 1.6802,                 1.4664,                0.34682,                0.43321,                0.35253,                0.17127,                0.32016,                 0.3997,                 0.3064,                0.13091,                   1.91,                 3.2027,                 2.1446,                 1.9785,              0.0013287,              0.0013287,              0.0013287
                     43,                  1.483,                 2.7736,                 1.7377,                 1.4631,                 0.5387,                0.46336,                 0.4238,                0.21895,                0.51482,                0.44121,                0.38375,                0.17811,                 1.8296,                 3.1439,                 1.9542,                 1.9321,              0.0013204,              0.0013204,              0.0013204
                     44,                 1.4837,                 2.7938,                 1.7182,                 1.4748,                0.48684,                0.43644,                0.42212,                0.19815,                0.47243,                0.41468,                 0.3764,                0.16332,                 1.8124,                 3.0269,                 1.9898,                 1.8548,              0.0013122,              0.0013122,              0.0013122
                     45,                 1.4763,                 2.7677,                 1.6886,                  1.462,                0.41402,                0.48261,                 0.4063,                0.20699,                0.43031,                0.44327,                 0.3784,                0.15919,                 1.8272,                 3.1975,                 1.9402,                  1.954,              0.0013039,              0.0013039,              0.0013039
                     46,                 1.4821,                 2.7586,                 1.6842,                 1.4627,                0.41052,                0.43984,                 0.3767,                0.18368,                0.48224,                0.35711,                0.32866,                0.15249,                  1.779,                 3.0628,                 2.0218,                 1.8781,              0.0012957,              0.0012957,              0.0012957
                     47,                 1.4699,                 2.7757,                 1.6662,                  1.448,                0.43253,                0.42843,                0.41356,                0.20513,                0.40409,                0.41644,                0.36144,                0.16564,                 1.7838,                 3.2524,                  1.972,                 1.8468,              0.0012874,              0.0012874,              0.0012874
                     48,                 1.4528,                 2.7155,                 1.6472,                 1.4398,                0.47231,                0.46867,                0.43056,                 0.2111,                  0.442,                0.43698,                0.39024,                 0.1752,                 1.8011,                 3.1889,                  1.948,                 1.8769,              0.0012792,              0.0012792,              0.0012792
                     49,                 1.4572,                 2.7264,                 1.6345,                 1.4418,                0.57165,                0.39518,                0.42055,                0.20613,                 0.5289,                0.36851,                0.37773,                0.16828,                 1.7998,                 3.1345,                   1.97,                  1.854,              0.0012709,              0.0012709,              0.0012709
                     50,                 1.4431,                 2.7059,                   1.61,                 1.4328,                0.46043,                0.47124,                0.43247,                0.22295,                 0.4336,                 0.4491,                0.40434,                0.18837,                 1.8555,                 3.1231,                 1.9122,                 1.9274,              0.0012627,              0.0012627,              0.0012627
                     51,                 1.4693,                 2.7595,                 1.6375,                 1.4465,                0.50086,                0.40266,                0.40783,                0.20081,                0.46152,                0.36735,                0.35609,                 0.1636,                 1.8017,                  3.168,                 2.0489,                 1.8907,              0.0012544,              0.0012544,              0.0012544
                     52,                 1.4287,                 2.6972,                 1.6052,                  1.419,                0.55126,                0.42637,                0.43234,                0.22051,                 0.5199,                 0.4048,                0.40716,                0.18493,                 1.8242,                 3.1315,                 1.8942,                 1.8963,              0.0012462,              0.0012462,              0.0012462
                     53,                 1.4012,                 2.6512,                   1.57,                 1.4148,                0.62986,                0.42753,                0.45586,                 0.2345,                0.53715,                0.37871,                0.37528,                0.18251,                 1.7898,                 3.1852,                 1.8734,                 1.9367,              0.0012379,              0.0012379,              0.0012379
                     54,                 1.4212,                 2.6631,                 1.5573,                 1.4078,                0.50103,                0.44631,                0.43418,                0.23618,                0.48715,                0.43043,                0.39463,                0.18473,                 1.8397,                 3.1156,                 1.9436,                 1.9735,              0.0012297,              0.0012297,              0.0012297
